_id,container_id,receptacle_model_id,address,zip,neighborhood
314852,148,74,5300 Penn Avenue,15224,Garfield
314853,149,74,221 South Highland Avenue,15206,Shadyside
314854,150,74,216 South Highland Avenue,15206,Shadyside
314855,151,74,232 South Highland Avenue,15206,Shadyside
314856,152,74,542 Brookline Blvd,15226,Brookline
314857,153,74,3360 Fifth Avenue,15213,South Oakland
314858,156,74,1276 Benton Ave,15212,Brighton Heights
314859,157,74,238 Spahr Street,15232,Shadyside
314860,158,74,1210 Mellon Street,15206,Highland Park
314861,159,74,5800 Bryant Street,15206,Highland Park
314862,161,74,910 Fifth Avenue,15219,Central Business District
314863,163,74,3518 Brighton Rd,15212,Brighton Heights
314864,164,74,1046 Fifth Avenue,15219,Bluff
314865,166,74,2305 East Carson Street,15203,South Side Flats
314866,167,74,1815 North Charles Street,15214,Perry South
314867,168,74,3507 California Ave,15212,Brighton Heights
314868,169,74,635 E Warrington Ave,15210,Allentown
314869,170,74,2100 East Carson Street,15203,South Side Flats
314870,171,74,2003 Arlington Ave,15210,South Side Slopes
314871,172,74,2000 East Carson Street,15203,South Side Flats
314872,173,74,1409 East Carson Street,15203,South Side Flats
314873,174,74,1831 East Carson Street,15203,South Side Flats
314874,175,74,511 East Carson Street,15203,South Side Flats
314875,176,74,13 Wabash St,15220,West End
314876,177,74,1101 Brookline Blvd,15226,Brookline
314877,178,74,128 Knox Ave,15210,Knoxville
314878,179,74,2135 Brownsville Rd,15210,Carrick
314879,180,74,1503 Brownsville Rd,15210,Carrick
314880,181,74,128 S 18th St,15203,South Side Flats
314881,182,74,2601 Brownsville Rd,15227,Carrick
314882,183,74,1150 Brownsville Rd,15210,Carrick
314883,184,74,2806 Brownsville Rd,15227,Carrick
314884,186,74,1900 W Liberty Ave,15226,Brookline
314885,188,74,2626 Brownsville Rd,15227,Carrick
314886,190,74,2361 Brownsville Rd,15210,Carrick
314887,191,74,2727 Brownsville Rd,15227,Carrick
314888,192,74,1401 East Carson Street,15203,South Side Flats
314889,193,74,2700 Pioneer Ave,15226,Brookline
314890,194,74,106 S 18th St,15203,South Side Flats
314891,195,74,400 Cherry Way,15219,Central Business District
314892,196,74,2320 Arlington Ave,15210,Arlington
314893,197,74,1417 East Carson Street,15203,South Side Flats
314894,200,74,2300 East Carson Street,15203,South Side Flats
314895,201,74,1039 Brookline Blvd,15226,Brookline
314896,202,74,1914 Brownsville Rd,15210,Carrick
314897,203,74,1802 Brownsville Rd,15210,Carrick
314898,204,74,2022 Brownsville Rd,15210,Carrick
314899,206,74,1707 Arlington Ave,15210,South Side Slopes
314900,207,74,1501 East Carson Street,15203,South Side Flats
314901,208,74,2401 East Carson Street,15203,South Side Flats
314902,209,74,1800 Pioneer Ave,15226,Brookline
314903,210,74,1300 Breining Street,15226,Brookline
314904,211,74,2801 S 18th St,15210,South Side Slopes
314905,212,74,1117 East Carson Street,15203,South Side Flats
314906,213,74,570 E Warrington Ave,15210,Beltzhoover
314907,214,74,911 East Carson Street,15203,South Side Flats
314908,215,74,1222 Arlington Ave,15210,Allentown
314909,216,74,2001 East Carson Street,15203,South Side Flats
314910,217,74,2340 East Carson Street,15203,South Side Flats
314911,218,74,1324 East Carson Street,15203,South Side Flats
314912,219,74,300 Brownsville Rd,15210,Knoxville
314913,220,74,1100 Brownsville Rd,15210,Carrick
314914,221,74,2508 Brownsville Road,15210,Carrick
314915,222,74,2317 Arlington Ave,15210,South Side Slopes
314916,223,74,1633 Brownsville Rd,15210,Carrick
314917,224,74,1230 Arlington Ave,15210,Allentown
314918,225,74,2535 North Charles Street,15214,Perry South
314919,226,74,1201 East Carson Street,15203,South Side Flats
314920,227,74,601 Brownsville Rd,15210,Knoxville
314921,228,74,120 Beltzhoover Ave,15210,Beltzhoover
314922,229,74,1820 East Carson Street,15203,South Side Flats
